#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
chromosome,NZ_CP071982.1,13,429,-,66521257,nusB,J5D21_RS00005,WP_021172147.1,138,transcription antitermination factor NusB
chromosome,NZ_CP071982.1,431,901,-,66521258,ribH,J5D21_RS00010,WP_001220004.1,156,"6,7-dimethyl-8-ribityllumazine synthase"
chromosome,NZ_CP071982.1,911,1741,-,66521259,kdsA,J5D21_RS00015,WP_209611812.1,276,3-deoxy-8-phosphooctulonate synthase
chromosome,NZ_CP071982.1,1728,2393,-,66521260,,J5D21_RS00020,WP_209611813.1,221,carbonic anhydrase
chromosome,NZ_CP071982.1,2513,3196,+,66521261,pyrF,J5D21_RS00025,WP_209611815.1,227,orotidine-5\\'-phosphate decarboxylase
chromosome,NZ_CP071982.1,3197,4027,+,66521262,panC,J5D21_RS00030,WP_209611817.1,276,pantoate--beta-alanine ligase
chromosome,NZ_CP071982.1,5469,7574,-,66521268,,J5D21_RS00060,WP_209611819.1,701,outer membrane beta-barrel protein
chromosome,NZ_CP071982.1,7920,9560,-,66521269,groL,J5D21_RS00065,WP_209611821.1,546,chaperonin GroEL
chromosome,NZ_CP071982.1,9586,9942,-,66521270,groES,J5D21_RS00070,WP_000671934.1,118,co-chaperone GroES
chromosome,NZ_CP071982.1,10220,11899,+,66521271,dnaG,J5D21_RS00075,WP_209611823.1,559,DNA primase
chromosome,NZ_CP071982.1,11896,12948,+,66521272,,J5D21_RS00080,WP_209611825.1,350,MnmA/TRMU family protein
chromosome,NZ_CP071982.1,13041,13868,+,66521273,,J5D21_RS00085,WP_209611827.1,275,DUF5718 family protein
chromosome,NZ_CP071982.1,14013,14294,+,66521274,,J5D21_RS00090,WP_001272690.1,93,TrbC/VirB2 family protein
chromosome,NZ_CP071982.1,14294,14557,+,66521275,,J5D21_RS00095,WP_000584948.1,87,hypothetical protein
chromosome,NZ_CP071982.1,14559,16922,+,66521276,,J5D21_RS00100,WP_209611829.1,787,VirB4 family type IV secretion/conjugal transfer ATPase
chromosome,NZ_CP071982.1,17231,18571,+,66521278,,J5D21_RS00110,WP_209612451.1,446,COG3014 family protein
chromosome,NZ_CP071982.1,18677,19642,+,66521279,cheV1,J5D21_RS00115,WP_000785486.1,321,chemotaxis protein CheV1
chromosome,NZ_CP071982.1,19639,20856,+,66521280,nspC,J5D21_RS00120,WP_209611831.1,405,carboxynorspermidine decarboxylase
chromosome,NZ_CP071982.1,20933,21505,-,66521281,lpxE,J5D21_RS00125,WP_209611833.1,190,lipid A 1-phosphatase LpxE
chromosome,NZ_CP071982.1,21516,23087,-,66521282,eptA,J5D21_RS00130,WP_209611834.1,523,phosphoethanolamine--lipid A transferase EptA
chromosome,NZ_CP071982.1,23659,25725,-,66521283,,J5D21_RS00135,WP_209611836.1,688,outer membrane beta-barrel protein
chromosome,NZ_CP071982.1,26243,27523,-,66521284,,J5D21_RS00140,WP_077645291.1,426,citrate synthase
chromosome,NZ_CP071982.1,27723,29000,+,66521285,icd,J5D21_RS00145,WP_077645290.1,425,isocitrate dehydrogenase (NADP(+))
chromosome,NZ_CP071982.1,29065,29592,+,66521286,,J5D21_RS00150,WP_021172683.1,175,DUF1523 family protein
chromosome,NZ_CP071982.1,29569,30225,-,66521287,bioD,J5D21_RS00155,WP_021172684.1,218,dethiobiotin synthase
chromosome,NZ_CP071982.1,30229,31998,-,66521288,,J5D21_RS00160,WP_077645287.1,589,hypothetical protein
chromosome,NZ_CP071982.1,32109,32522,+,66521289,,J5D21_RS00165,WP_001023008.1,137,universal stress protein
chromosome,NZ_CP071982.1,32524,32799,+,66521290,,J5D21_RS00170,WP_021172686.1,91,ATP-dependent Clp protease adaptor ClpS
chromosome,NZ_CP071982.1,32799,35027,+,66521291,,J5D21_RS00175,WP_021172687.1,742,ATP-dependent Clp protease ATP-binding subunit
chromosome,NZ_CP071982.1,35017,35370,+,66521292,panD,J5D21_RS00180,WP_000142286.1,117,aspartate 1-decarboxylase
chromosome,NZ_CP071982.1,35373,35675,+,66521293,,J5D21_RS00185,WP_000347926.1,100,YbaB/EbfC family nucleoid-associated protein
chromosome,NZ_CP071982.1,35675,36679,+,66521294,,J5D21_RS00190,WP_209612455.1,334,PDZ domain-containing protein
chromosome,NZ_CP071982.1,36687,37742,+,66521295,,J5D21_RS00195,WP_209612453.1,351,P-type conjugative transfer protein TrbL
chromosome,NZ_CP071982.1,37758,37871,+,66521296,,J5D21_RS00200,WP_001217877.1,37,hypothetical protein
chromosome,NZ_CP071982.1,37868,38611,+,66521297,,J5D21_RS00205,WP_209611838.1,247,virB8 family protein
chromosome,NZ_CP071982.1,38611,39582,+,66521298,,J5D21_RS00210,WP_209611840.1,323,TrbG/VirB9 family P-type conjugative transfer protein
chromosome,NZ_CP071982.1,39575,40711,+,66521299,,J5D21_RS00215,WP_209611842.1,378,DNA type IV secretion system protein ComB10
chromosome,NZ_CP071982.1,40781,42193,+,66521300,,J5D21_RS00220,WP_209611844.1,470,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
chromosome,NZ_CP071982.1,42234,43379,+,66521301,gmd,J5D21_RS00225,WP_021186674.1,381,"GDP-mannose 4,6-dehydratase"
chromosome,NZ_CP071982.1,43372,44304,+,66521302,,J5D21_RS00230,WP_001002471.1,310,GDP-L-fucose synthase
chromosome,NZ_CP071982.1,45164,46162,-,66521303,hypE,J5D21_RS00235,WP_209611846.1,332,hydrogenase expression/formation protein HypE
chromosome,NZ_CP071982.1,46165,48417,-,66521304,hypF,J5D21_RS00240,WP_209612457.1,750,carbamoyltransferase HypF
chromosome,NZ_CP071982.1,48414,49406,-,66521305,,J5D21_RS00245,WP_209611848.1,330,agmatine/peptidylarginine deiminase
chromosome,NZ_CP071982.1,49465,50157,-,66521306,,J5D21_RS00250,WP_041050410.1,230,site-specific DNA-methyltransferase
chromosome,NZ_CP071982.1,50154,51221,-,66521307,,J5D21_RS00255,WP_041050412.1,355,DNA cytosine methyltransferase
chromosome,NZ_CP071982.1,52667,54157,-,66521310,putP,J5D21_RS00270,WP_209611849.1,496,sodium/proline symporter PutP
chromosome,NZ_CP071982.1,54184,57741,-,66521311,,J5D21_RS00275,WP_209611851.1,1185,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
chromosome,NZ_CP071982.1,58062,58271,+,66521312,,J5D21_RS00280,WP_000848997.1,69,hypothetical protein
chromosome,NZ_CP071982.1,58595,58783,+,71772594,,J5D21_RS07680,WP_244965182.1,62,hypothetical protein
chromosome,NZ_CP071982.1,58834,59553,+,66521314,,J5D21_RS00290,WP_209611853.1,239,hypothetical protein
chromosome,NZ_CP071982.1,59554,59955,+,66521315,,J5D21_RS00295,WP_209611855.1,133,transcriptional regulator
chromosome,NZ_CP071982.1,59945,60313,+,66521316,,J5D21_RS00300,WP_209611856.1,122,hypothetical protein
chromosome,NZ_CP071982.1,60324,62744,+,66521317,,J5D21_RS00305,WP_209611858.1,806,hypothetical protein
chromosome,NZ_CP071982.1,63326,63586,+,66521319,,J5D21_RS00315,WP_001959604.1,86,hypothetical protein
chromosome,NZ_CP071982.1,63597,64958,+,66521320,,J5D21_RS00320,WP_209611860.1,453,HNH endonuclease
chromosome,NZ_CP071982.1,64928,65347,+,66521321,,J5D21_RS00325,WP_021171720.1,139,SMI1/KNR4 family protein
chromosome,NZ_CP071982.1,65349,65696,+,66521322,,J5D21_RS00330,WP_021186751.1,115,hypothetical protein
chromosome,NZ_CP071982.1,68266,69063,-,66521324,,J5D21_RS00340,WP_209611862.1,265,urease accessory protein UreD
chromosome,NZ_CP071982.1,69063,69662,-,66521325,ureG,J5D21_RS00345,WP_000238762.1,199,urease accessory protein UreG
chromosome,NZ_CP071982.1,69691,70464,-,66521326,,J5D21_RS00350,WP_209611863.1,257,urease accessory protein UreF
chromosome,NZ_CP071982.1,70475,70987,-,66521327,ureE,J5D21_RS00355,WP_000583090.1,170,urease accessory protein UreE
chromosome,NZ_CP071982.1,70989,71576,-,66521328,ureI,J5D21_RS00360,WP_000901274.1,195,acid-activated urea channel protein UreI
chromosome,NZ_CP071982.1,71799,73508,-,66521329,ureB,J5D21_RS00365,WP_000724308.1,569,urease subunit beta
chromosome,NZ_CP071982.1,73512,74228,-,66521330,ureA,J5D21_RS00370,WP_000779233.1,238,urease subunit alpha
chromosome,NZ_CP071982.1,74589,75062,-,66521332,lspA,J5D21_RS00380,WP_000935484.1,157,signal peptidase II
chromosome,NZ_CP071982.1,75056,76393,-,66521333,glmM,J5D21_RS00385,WP_077645279.1,445,phosphoglucosamine mutase
chromosome,NZ_CP071982.1,76483,76752,+,66521334,rpsT,J5D21_RS00390,WP_001273615.1,89,30S ribosomal protein S20
chromosome,NZ_CP071982.1,76876,77934,+,66521335,prfA,J5D21_RS00395,WP_000025170.1,352,peptide chain release factor 1
chromosome,NZ_CP071982.1,78347,78601,+,66521336,,J5D21_RS00400,WP_000719131.1,84,hypothetical protein
chromosome,NZ_CP071982.1,78612,80168,+,66521337,,J5D21_RS00405,WP_209611865.1,518,outer membrane beta-barrel protein
chromosome,NZ_CP071982.1,80421,82169,+,66521338,,J5D21_RS00410,WP_209611867.1,582,dentin sialophosphopreproprotein
chromosome,NZ_CP071982.1,84873,85262,-,66521340,rpsI,J5D21_RS00420,WP_001227269.1,129,30S ribosomal protein S9
chromosome,NZ_CP071982.1,85259,85684,-,66521341,rplM,J5D21_RS00425,WP_134889645.1,141,50S ribosomal protein L13
chromosome,NZ_CP071982.1,86037,86225,-,66521342,,J5D21_RS00430,WP_001123739.1,62,DUF5408 family protein
chromosome,NZ_CP071982.1,86232,87584,-,66521343,,J5D21_RS00435,WP_000061426.1,450,FAD-dependent oxidoreductase
chromosome,NZ_CP071982.1,87638,89011,-,66521344,,J5D21_RS00440,WP_209611869.1,457,NlpC/P60 family protein
chromosome,NZ_CP071982.1,89031,91103,-,66521345,rpoD,J5D21_RS00445,WP_209611871.1,690,RNA polymerase sigma factor RpoD
chromosome,NZ_CP071982.1,91295,91990,-,66521346,mtnN,J5D21_RS00450,WP_001940848.1,231,aminodeoxyfutalosine nucleosidase
chromosome,NZ_CP071982.1,92001,92930,-,66521347,fabD,J5D21_RS00455,WP_001198984.1,309,ACP S-malonyltransferase
chromosome,NZ_CP071982.1,94188,95021,+,66521350,,J5D21_RS00470,WP_209611873.1,277,site-specific DNA-methyltransferase
chromosome,NZ_CP071982.1,95041,95481,-,66521351,futC1,J5D21_RS00475,WP_209528011.1,146,"alpha-1,2-fucosyltransferase"
chromosome,NZ_CP071982.1,95519,95944,-,66521352,,J5D21_RS00480,WP_209611874.1,141,"alpha-1,2-fucosyltransferase"
chromosome,NZ_CP071982.1,96039,96569,-,66521353,,J5D21_RS00485,WP_021187140.1,176,hypothetical protein
chromosome,NZ_CP071982.1,96642,97586,+,66521354,,J5D21_RS00490,WP_209611876.1,314,D-2-hydroxyacid dehydrogenase
chromosome,NZ_CP071982.1,97763,98476,-,66521355,,J5D21_RS00495,WP_001227138.1,237,hypothetical protein
chromosome,NZ_CP071982.1,98582,100042,-,66521356,thrC,J5D21_RS00500,WP_209611878.1,486,threonine synthase
chromosome,NZ_CP071982.1,100237,102264,+,66521357,tlpA,J5D21_RS00505,WP_209611880.1,675,methyl-accepting chemotaxis protein
chromosome,NZ_CP071982.1,102264,103370,+,66521358,,J5D21_RS00510,WP_209611882.1,368,epoxyqueuosine reductase QueH
chromosome,NZ_CP071982.1,103588,104349,+,66521359,,J5D21_RS00515,WP_000853713.1,253,outer membrane beta-barrel protein
chromosome,NZ_CP071982.1,104321,105112,-,66521360,,J5D21_RS00520,WP_209611884.1,263,glycosyltransferase
chromosome,NZ_CP071982.1,105144,106841,-,66521361,tlpB,J5D21_RS00525,WP_209611886.1,565,methyl-accepting chemotaxis protein
chromosome,NZ_CP071982.1,107055,108800,-,66521362,,J5D21_RS00530,WP_209611887.1,581,5\\'-nucleotidase C-terminal domain-containing protein
chromosome,NZ_CP071982.1,108944,109402,-,66521363,,J5D21_RS00535,WP_164855384.1,152,S-ribosylhomocysteine lyase
chromosome,NZ_CP071982.1,109440,110582,-,66521364,,J5D21_RS00540,WP_209611889.1,380,cystathionine gamma-synthase
chromosome,NZ_CP071982.1,110607,111524,-,66521365,,J5D21_RS00545,WP_209611891.1,305,cysteine synthase family protein
chromosome,NZ_CP071982.1,112465,114327,-,66521367,dnaK,J5D21_RS00555,WP_209611894.1,620,molecular chaperone DnaK
chromosome,NZ_CP071982.1,114358,114933,-,66521368,grpE,J5D21_RS00560,WP_209611896.1,191,nucleotide exchange factor GrpE
chromosome,NZ_CP071982.1,114933,115733,-,66521369,,J5D21_RS00565,WP_209611898.1,266,HrcA family transcriptional regulator
chromosome,NZ_CP071982.1,115972,116610,+,66521370,,J5D21_RS00570,WP_000933670.1,212,class II aldolase and adducin N-terminal domain-containing protein
chromosome,NZ_CP071982.1,116631,116927,+,66521371,,J5D21_RS00575,WP_021171854.1,98,hypothetical protein
chromosome,NZ_CP071982.1,116936,118819,-,66521372,,J5D21_RS00580,WP_209611900.1,627,motility associated factor glycosyltransferase family protein
chromosome,NZ_CP071982.1,118880,120424,-,66521373,,J5D21_RS00585,WP_000010023.1,514,flagellin B
chromosome,NZ_CP071982.1,120590,122800,+,66521374,topA,J5D21_RS00590,WP_209611902.1,736,type I DNA topoisomerase
chromosome,NZ_CP071982.1,122793,123719,+,66521375,,J5D21_RS00595,WP_021172442.1,308,radical SAM protein
chromosome,NZ_CP071982.1,123852,125018,-,66521376,,J5D21_RS00600,WP_209611904.1,388,DUF874 family protein
chromosome,NZ_CP071982.1,125116,127548,-,66521377,ppsA,J5D21_RS00605,WP_077645257.1,810,"pyruvate, water dikinase"
chromosome,NZ_CP071982.1,127910,129748,+,66521378,thrS,J5D21_RS00610,WP_077645256.1,612,threonine--tRNA ligase
chromosome,NZ_CP071982.1,129745,130356,+,66521379,infC,J5D21_RS00615,WP_000091354.1,203,translation initiation factor IF-3
chromosome,NZ_CP071982.1,130337,130531,+,66521380,rpmI,J5D21_RS00620,WP_001125542.1,64,50S ribosomal protein L35
chromosome,NZ_CP071982.1,130626,130976,+,66521381,rplT,J5D21_RS00625,WP_001264161.1,116,50S ribosomal protein L20
chromosome,NZ_CP071982.1,131177,132037,+,66521382,,J5D21_RS00630,WP_209611905.1,286,outer membrane protein
chromosome,NZ_CP071982.1,132537,132968,+,66521383,,J5D21_RS00635,WP_209611907.1,143,DUF1104 domain-containing protein
chromosome,NZ_CP071982.1,133379,134236,+,66521384,,J5D21_RS00640,WP_000821489.1,285,hypothetical protein
chromosome,NZ_CP071982.1,134861,136228,-,66521385,,J5D21_RS00645,WP_209611909.1,455,L-serine ammonia-lyase
chromosome,NZ_CP071982.1,136228,137469,-,66521386,,J5D21_RS00650,WP_209611911.1,413,serine/threonine transporter
chromosome,NZ_CP071982.1,137649,138998,+,66521387,,J5D21_RS00655,WP_209611913.1,449,3-deoxy-7-phosphoheptulonate synthase class II
chromosome,NZ_CP071982.1,139646,140104,-,66521388,,J5D21_RS00660,WP_000412964.1,152,peroxiredoxin
chromosome,NZ_CP071982.1,140114,140749,-,66521389,,J5D21_RS00665,WP_209611915.1,211,lactate utilization protein C
chromosome,NZ_CP071982.1,140742,142187,-,66521390,,J5D21_RS00670,WP_209611917.1,481,LutB/LldF family L-lactate oxidation iron-sulfur protein
chromosome,NZ_CP071982.1,142216,142944,-,66521391,,J5D21_RS00675,WP_000867254.1,242,(Fe-S)-binding protein
chromosome,NZ_CP071982.1,143165,144814,+,66521392,,J5D21_RS00680,WP_000398028.1,549,L-lactate permease
chromosome,NZ_CP071982.1,144863,146518,+,66521393,,J5D21_RS00685,WP_209611919.1,551,L-lactate permease
chromosome,NZ_CP071982.1,146542,147528,-,66521394,,J5D21_RS00690,WP_209611921.1,328,adenine-specific DNA glycosylase
chromosome,NZ_CP071982.1,147529,148977,-,66521395,,J5D21_RS00695,WP_209611923.1,482,DASS family sodium-coupled anion symporter
chromosome,NZ_CP071982.1,149147,150613,+,66521396,ccoN,J5D21_RS00700,WP_001157622.1,488,"cytochrome-c oxidase, cbb3-type subunit I"
chromosome,NZ_CP071982.1,150626,151324,+,66521397,ccoO,J5D21_RS00705,WP_079373275.1,232,"cytochrome-c oxidase, cbb3-type subunit II"
chromosome,NZ_CP071982.1,151335,151553,+,66521398,,J5D21_RS00710,WP_001876875.1,72,"cytochrome c oxidase, cbb3-type, CcoQ subunit"
chromosome,NZ_CP071982.1,151555,152433,+,66521399,ccoP,J5D21_RS00715,WP_209611925.1,292,"cytochrome-c oxidase, cbb3-type subunit III"
chromosome,NZ_CP071982.1,152444,152650,+,66521400,,J5D21_RS00720,WP_000670514.1,68,DUF4006 family protein
chromosome,NZ_CP071982.1,152751,153344,+,66521401,,J5D21_RS00725,WP_209611927.1,197,hypothetical protein
chromosome,NZ_CP071982.1,153357,153938,+,66521402,,J5D21_RS00730,WP_077647986.1,193,hypothetical protein
chromosome,NZ_CP071982.1,154545,155312,+,66521403,,J5D21_RS00735,WP_209611929.1,255,hypothetical protein
chromosome,NZ_CP071982.1,155309,156172,-,66521404,,J5D21_RS00740,WP_209611930.1,287,menaquinone biosynthesis family protein
